AngleOfAttack_deg,LiftCoefficient_Cl,DragCoefficient_Cd,LiftToDragRatio,Lift_N,Drag_N
-10,-1,0.057,-17.5438596491228,-551.25,31.42125
-9,-0.986960440108936,0.0558340909653011,-17.6766635409592,-544.061942610051,30.7785426446222
-8,-0.877298168985721,0.0466343434787564,-18.812276608662,-483.610615653379,25.7071818426645
-7,-0.767635897862506,0.0385169192259229,-19.9298363755393,-423.159288696706,21.23245172329
-6,-0.657973626739291,0.0314818182068005,-20.9001151844896,-362.707961740034,17.3543522864988
-5,-0.548311355616075,0.0255290404213892,-21.4779461572194,-302.256634783362,14.0728835322908
-4,-0.43864908449286,0.0206585858696891,-21.2332580390442,-241.805307826689,11.3880454606661
-3,-0.328986813369645,0.0168704545517001,-19.500767591143,-181.353980870017,9.29983807162469
-2,-0.21932454224643,0.0141646464674223,-15.4839404393792,-120.902653913345,7.80826136516653
-1,-0.109662271123215,0.0125411616168556,-8.7441876975596,-60.4513269566723,6.91331534129163
0,0,0.012,0,0,6.615
1,0.109662271123215,0.0125411616168556,8.7441876975596,60.4513269566723,6.91331534129163
2,0.21932454224643,0.0141646464674223,15.4839404393792,120.902653913345,7.80826136516653
3,0.328986813369645,0.0168704545517001,19.500767591143,181.353980870017,9.29983807162469
4,0.43864908449286,0.0206585858696891,21.2332580390442,241.805307826689,11.3880454606661
5,0.548311355616075,0.0255290404213892,21.4779461572194,302.256634783362,14.0728835322908
6,0.657973626739291,0.0314818182068005,20.9001151844896,362.707961740034,17.3543522864988
7,0.767635897862506,0.0385169192259229,19.9298363755393,423.159288696706,21.23245172329
8,0.877298168985721,0.0466343434787564,18.812276608662,483.610615653379,25.7071818426645
9,0.986960440108936,0.0558340909653011,17.6766635409592,544.061942610051,30.7785426446222
10,1.09662271123215,0.0661161616855569,16.5863033073154,604.513269566723,36.4465341291632
11,1.2,0.0768,15.625,661.5,42.336
12,1.2,0.0768,15.625,661.5,42.336
13,1.2,0.0768,15.625,661.5,42.336
14,1.2,0.0768,15.625,661.5,42.336
15,1.2,0.0768,15.625,661.5,42.336
